OTU_ID,taxID,taxon,rank,score,kingdom,phylum,class,order,family,genus,species
MOTU2089,2864,Dinophyceae,class,1,,,Dinophyceae,,,,
MOTU2090,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU2091,158377,Lecudinidae,family,1,,Apicomplexa,Conoidasida,Eugregarinorida,Lecudinidae,,
MOTU2092,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU2093,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU2094,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU2095,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU2096,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU2097,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU2098,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU2099,158377,Lecudinidae,family,1,,Apicomplexa,Conoidasida,Eugregarinorida,Lecudinidae,,
MOTU2100,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU2101,2864,Dinophyceae,class,1,,,Dinophyceae,,,,
MOTU2102,5878,Ciliophora,no rank,1,,,,,,,
MOTU2103,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU2104,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU2105,33634,Stramenopiles,no rank,1,,,,,,,
MOTU2106,158377,Lecudinidae,family,1,,Apicomplexa,Conoidasida,Eugregarinorida,Lecudinidae,,
MOTU2107,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU2108,2836,Bacillariophyta,phylum,1,,Bacillariophyta,,,,,
MOTU2109,2864,Dinophyceae,class,1,,,Dinophyceae,,,,
MOTU2110,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU2111,35680,Pedinellales,order,0.9999,,,Dictyochophyceae,Pedinellales,,,
MOTU2112,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU2113,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU2114,136419,Cercozoa,no rank,1,,,,,,,
MOTU2115,2953,Gymnodiniales,order,1,,,Dinophyceae,Gymnodiniales,,,
MOTU2116,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU2117,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU2118,136419,Cercozoa,no rank,1,,,,,,,
MOTU2119,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU2120,131567,cellular organisms,no rank,1,,,,,,,
MOTU2121,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU2122,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU2123,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU2124,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU2125,131567,cellular organisms,no rank,1,,,,,,,
MOTU2126,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU2127,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU2128,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU2129,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU2130,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU2131,230408,Pirsonia,genus,1,,,,,,Pirsonia,
MOTU2132,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU2133,131567,cellular organisms,no rank,1,,,,,,,
MOTU2134,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU2135,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU2136,131567,cellular organisms,no rank,1,,,,,,,
MOTU2137,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU2138,2806,Florideophyceae,class,1,,,Florideophyceae,,,,
MOTU2139,6341,Polychaeta,class,1,Metazoa,Annelida,Polychaeta,,,,
MOTU2140,6040,Porifera,phylum,1,Metazoa,Porifera,,,,,
MOTU2141,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU2142,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU2143,2759,Eukaryota,superkingdom,0.9943,,,,,,,
MOTU2144,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU2145,2806,Florideophyceae,class,1,,,Florideophyceae,,,,
MOTU2146,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU2147,5988,Litostomatea,class,1,,,Litostomatea,,,,
MOTU2148,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU2149,33634,Stramenopiles,no rank,1,,,,,,,
MOTU2150,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU2151,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU2152,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU2153,33836,Coscinodiscophyceae,class,1,,Bacillariophyta,Coscinodiscophyceae,,,,
MOTU2154,2759,Eukaryota,superkingdom,0.9999,,,,,,,
MOTU2155,33829,Spirotrichea,class,1,,,Spirotrichea,,,,
MOTU2156,6102,Hexacorallia,subclass,1,Metazoa,Cnidaria,Anthozoa,,,,
MOTU2157,33213,Bilateria,no rank,1,Metazoa,,,,,,
MOTU2158,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU2159,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU2160,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU2161,33854,Fragilariophycidae,no rank,1,,Bacillariophyta,Fragilariophyceae,,,,
MOTU2162,36116,Nerillidae,family,1,Metazoa,Annelida,Polychaeta,,Nerillidae,,
MOTU2163,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU2164,6102,Hexacorallia,subclass,1,Metazoa,Cnidaria,Anthozoa,,,,
MOTU2165,3041,Chlorophyta,phylum,1,Viridiplantae,Chlorophyta,,,,,
MOTU2166,1,root,no rank,1,,,,,,,
MOTU2167,2864,Dinophyceae,class,1,,,Dinophyceae,,,,
MOTU2168,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU2169,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU2170,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU2171,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU2172,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU2173,33634,Stramenopiles,no rank,1,,,,,,,
MOTU2174,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU2175,136419,Cercozoa,no rank,1,,,,,,,
MOTU2176,2836,Bacillariophyta,phylum,0.9359,,Bacillariophyta,,,,,
MOTU2177,131567,cellular organisms,no rank,1,,,,,,,
MOTU2178,6102,Hexacorallia,subclass,1,Metazoa,Cnidaria,Anthozoa,,,,
MOTU2179,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU2180,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU2181,132686,Diophrys,genus,1,,,Spirotrichea,Euplotida,Uronychiidae,Diophrys,
MOTU2182,33850,Bacillariophycidae,no rank,0.9907,,Bacillariophyta,Bacillariophyceae,,,,
MOTU2183,182089,Eutintinnus,genus,1,,,Spirotrichea,Tintinnida,Tintinnidae,Eutintinnus,
MOTU2184,2759,Eukaryota,superkingdom,0.9995,,,,,,,
